class_file,route,label,group,icon,sort,permission,type,business_purpose,access,destructive_capability,related_module,current_ux_action
"Filament\\Pages\\Dashboard","filament.admin.pages.dashboard","Bảng điều khiển","Tổng quan","home","0","dashboard.view","page","KPI và cảnh báo vận hành","read","none","dashboard","KEEP_REDESIGNED"
"Resources\\Leads\\LeadResource","filament.admin.resources.leads.index","Khách hàng tiềm năng","Bán hàng","rectangle-stack","1","lead.view/create/edit/delete","resource","Quản lý lead","read/write","delete","sales","REORGANIZED"
"Resources\\QuoteRequests\\QuoteRequestResource","filament.admin.resources.quote-requests.index","Báo giá","Bán hàng","document-currency","2","quote_request.view/edit/delete","resource","Yêu cầu báo giá","read/write","delete","sales","REORGANIZED"
"Resources\\ProductReviews\\ProductReviewResource","filament.admin.resources.product-reviews.index","Đánh giá","Bán hàng","star","3","product_review.view/create/edit/delete","resource","Kiểm duyệt đánh giá","read/write","delete","sales","REORGANIZED"
"Resources\\ProductQuestions\\ProductQuestionResource","filament.admin.resources.product-questions.index","Hỏi đáp","Bán hàng","chat-bubble-left-right","4","product_question.view/create/edit/delete","resource","Hỏi đáp sản phẩm","read/write","delete","sales","REORGANIZED"
"Resources\\BtuCalculations\\BtuCalculationResource","filament.admin.resources.btu-calculations.index","Tư vấn công suất BTU","Bán hàng","calculator","5","btu_calculator.view/edit","resource","Lịch sử tư vấn BTU","read/write","none","sales","RELABELED"
"Resources\\Products\\ProductResource","filament.admin.resources.products.index","Sản phẩm","Sản phẩm","rectangle-stack","1","product.view/create/edit/delete","resource","Danh mục hàng hóa","read/write","delete/bulk/AI apply guarded","catalog","REORGANIZED"
"Resources\\ProductCategories\\ProductCategoryResource","filament.admin.resources.product-categories.index","Danh mục sản phẩm","Sản phẩm","rectangle-stack","2","product_category.view/create/edit/delete","resource","Phân loại sản phẩm","read/write","delete","catalog","REORGANIZED"
"Resources\\Brands\\BrandResource","filament.admin.resources.brands.index","Thương hiệu","Sản phẩm","rectangle-stack","3","brand.view/create/edit/delete","resource","Thương hiệu","read/write","delete","catalog","REORGANIZED"
"Resources\\Promotions\\PromotionResource","filament.admin.resources.promotions.index","Khuyến mãi","Sản phẩm","rectangle-stack","4","promotion.view/create/edit/delete","resource","Khuyến mãi","read/write","delete","catalog","REORGANIZED"
"Resources\\Posts\\PostResource","filament.admin.resources.posts.index","Bài viết","Nội dung","rectangle-stack","1","post.view/create/edit/delete","resource","Bài viết website","read/write","delete","content","REORGANIZED"
"Resources\\PostCategories\\PostCategoryResource","filament.admin.resources.post-categories.index","Danh mục bài viết","Nội dung","rectangle-stack","2","post_category.view/create/edit/delete","resource","Phân loại bài viết","read/write","delete","content","REORGANIZED"
"Resources\\Authors\\AuthorResource","filament.admin.resources.authors.index","Tác giả","Nội dung","rectangle-stack","3","author.view/create/edit/delete","resource","Tác giả bài viết","read/write","delete","content","RELABELED"
"Resources\\Tags\\TagResource","filament.admin.resources.tags.index","Thẻ nội dung","Nội dung","rectangle-stack","4","tag.view/create/edit/delete","resource","Thẻ nội dung","read/write","delete","content","RELABELED"
"Resources\\Faqs\\FaqResource","filament.admin.resources.faqs.index","Câu hỏi thường gặp","Nội dung","rectangle-stack","5","faq.view/create/edit/delete","resource","FAQ hiển thị","read/write","delete","content","REORGANIZED"
"Resources\\CaseStudies\\CaseStudyResource","filament.admin.resources.case-studies.index","Dự án thực tế","Nội dung","rectangle-stack","6","case_study.view/create/edit/delete","resource","Case study/dự án","read/write","delete","content","GROUPED_FROM_ROOT"
"Resources\\Testimonials\\TestimonialResource","filament.admin.resources.testimonials.index","Cảm nhận khách hàng","Nội dung","rectangle-stack","7","testimonial.view/create/edit/delete","resource","Cảm nhận khách hàng","read/write","delete","content","GROUPED_FROM_ROOT"
"Resources\\LandingSections\\LandingSectionResource","filament.admin.resources.landing-sections.index","Khối trang đích","Nội dung","rectangle-stack","8","landing_section.view/create/edit/delete","resource","Khối landing page","read/write","delete","landing","REORGANIZED"
"Resources\\PolicyPages\\PolicyPageResource","filament.admin.resources.policy-pages.index","Trang chính sách","Nội dung","rectangle-stack","9","policy_page.view/create/edit/delete","resource","Trang chính sách","read/write","delete","landing","REORGANIZED"
"Resources\\HeroSlides\\HeroSlideResource","filament.admin.resources.hero-slides.index","Banner trang chủ","Nội dung","photo","10","resource policy","resource","Hero slider","read/write","delete","landing","RELABELED"
"Resources\\HomeBenefitItems\\HomeBenefitItemResource","filament.admin.resources.home-benefit-items.index","Lợi ích trang chủ","Nội dung","star","11","resource policy","resource","Lợi ích trang chủ","read/write","delete","landing","RELABELED"
"Resources\\QuoteCommitments\\QuoteCommitmentBlockResource","filament.admin.resources.quote-commitment-blocks.index","Cam kết báo giá","Nội dung","clipboard-document-check","12","resource policy","resource","Nội dung cam kết báo giá","read/write","delete","landing","RELABELED"
"Pages\\SeoAudit","filament.admin.pages.seo-audit","Tổng quan SEO","SEO & Marketing","magnifying-glass","1","seo_audit.view","page","Chẩn đoán SEO","read/action","audit actions","seo","REORGANIZED"
"Pages\\MarketingIntegrations","filament.admin.pages.marketing-integrations","Tích hợp Marketing","SEO & Marketing","globe-alt","2","seo_audit.view","page","Trạng thái tích hợp marketing","read/action","offline conversion upload","marketing","REDESIGNED"
"Resources\\InternalLinks\\InternalLinkSuggestionResource","filament.admin.resources.internal-link-suggestions.index","Liên kết nội bộ","SEO & Marketing","link","3","internal_link.view/create/edit/delete","resource","Gợi ý liên kết nội bộ","read/write","approve/delete","seo","RELABELED"
"Resources\\Redirects\\RedirectResource","filament.admin.resources.redirects.index","Chuyển hướng 301/302","SEO & Marketing","arrows-right-left","4","redirect.view/create/edit/delete","resource","Quản lý redirect","read/write","delete","seo","RELABELED"
"Resources\\SiteCampaigns\\SiteCampaignResource","filament.admin.resources.site-campaigns.index","Chiến dịch website","SEO & Marketing","megaphone","5","site_campaign.view/create/edit/delete","resource","Chiến dịch onsite","read/write","delete","marketing","REORGANIZED"
"Resources\\AiProductJobs\\AiProductJobResource","filament.admin.resources.ai-product-jobs.index","Công việc nội dung AI","AI Content","cpu-chip","1","bulk_ai_view/product.ai_generate","resource","Vận hành nội dung AI sản phẩm","read/write guarded","retry/apply guarded","ai","REDESIGNED"
"Resources\\AiContentJobs\\AiContentJobResource","filament.admin.resources.ai-content-jobs.index","Công việc AI bài viết","AI Content","rectangle-stack","2","ai_content_job.view/create/delete","resource","Nội dung AI bài viết","read/write guarded","retry/delete guarded","ai","REORGANIZED"
"Resources\\AiProviders\\AiProviderResource","filament.admin.resources.ai-providers.index","Nhà cung cấp AI","AI Content","cpu-chip","3","ai_provider.view/create/edit/delete","resource","Cấu hình provider","read/write","credential changes","ai","RELABELED"
"Pages\\DataTransferPage","filament.admin.pages.data-transfer-page","Nhập / Xuất dữ liệu","Hệ thống","arrows-right-left","1","module import/export permissions","page","Nhập xuất có kiểm soát","read/write","import apply/export","data_transfer","REFINED"
"Pages\\R2SyncManager","filament.admin.pages.r2-sync-manager","Media & CDN","Hệ thống","cloud-arrow-up","2","r2.view/test/scan/sync","page","Đồng bộ media","read/write","real URL replacement","media","REDESIGNED_AND_GUARDED"
"Resources\\MailTemplates\\MailTemplateResource","filament.admin.resources.mail-templates.index","Mẫu email","Hệ thống","envelope-open","3","mail_template.view/create/edit/delete","resource","Mẫu email","read/write","delete","mail","REGROUPED"
"Resources\\MailLogs\\MailLogResource","filament.admin.resources.mail-logs.index","Nhật ký email","Hệ thống","paper-airplane","4","mail_log.view/delete","resource","Theo dõi gửi mail","read/write","delete","mail","RELABELED"
"Resources\\Users\\UserResource","filament.admin.resources.users.index","Người dùng","Hệ thống","users","5","user policy/role governance","resource","Tài khoản quản trị","read/write","disable/delete/role","identity","RELABELED"
"Resources\\Users\\RoleResource","filament.admin.resources.users.roles.index","Vai trò & quyền","Hệ thống","shield-check","6","role governance","resource","RBAC","read/write","permission changes","identity","RELABELED"
"Pages\\ManageSiteSettings","filament.admin.pages.manage-site-settings","Cài đặt website","Hệ thống","cog-6-tooth","7","settings.view/edit","page","Cấu hình website","read/write","infrastructure-affecting settings","settings","RELABELED"
"Pages\\AIQueueHealth","filament.admin.pages.a-i-queue-health","Trạng thái AI","Vận hành","signal","1","ai_content_job.view or product.ai_generate","page","Queue/worker/scheduler diagnostics","read/action","recover stale jobs","operations","REDESIGNED"
"Pages\\AIRuntimeSecurityProbe","filament.admin.pages.ai-runtime-security-probe","Security probe","hidden","shield","-","environment+authorization guard","page","Security-only probe","read/test","isolated probe","security","KEEP_HIDDEN"
"Pages\\ImportPreviewPage","filament.admin.pages.import-preview-page","Import preview","hidden","-","owner/module authorization","page","Preview import","read/action","confirm import","data_transfer","KEEP_HIDDEN"
"Pages\\ImportResultPage","filament.admin.pages.import-result-page","Import result","hidden","-","owner/module authorization","page","Kết quả import","read","none","data_transfer","KEEP_HIDDEN"
"Pages\\Profile","filament.admin.pages.profile","Hồ sơ của tôi","user menu","user-circle","-","authenticated user","page","Hồ sơ cá nhân","read/write","password/profile change","identity","KEEP_USER_MENU"
