FILE,CLASS,PURPOSE,READS,WRITES,STATE_MUTATION,QUEUE,USED_BY,TEST_COVERAGE
app/Services/AI/AIJobStateMachine.php,AIJobStateMachine,"Canonical Item/Job transitions","status canonical_status","canonical_status status_reason state_changed_at",YES,NO,"worker/services","AiProductStateConsistencyTest"
app/Services/AI/AiProductContentStateResolver.php,AiProductContentStateResolver,"Product AI presentation state","Product Items Drafts",NONE,NO,NO,"Product panel/actions/status API","ProductAiActionResolverTest; AiProductStateConsistencyTest"
app/Services/AI/ProductAiActionResolver.php,ProductAiActionResolver,"Header action policy","canonical state permissions",NONE,NO,NO,"EditProduct","AIProductHeaderActionTest; ProductAiActionResolverTest"
app/Services/AI/ProductAiGenerationReadiness.php,ProductAiGenerationReadiness,"Generate blockers and next actions","Product eligibility state",NONE,NO,NO,"single/bulk UI","ProductAiGenerationReadinessTest"
app/Services/AI/ProductAiApplyReadiness.php,ProductAiApplyReadiness,"Apply confirmation/hard/stale readiness","Draft Product hashes warnings",NONE,NO,NO,"single/bulk Apply","AIProductEditDraftActionTest"
app/Services/AI/ProductAiBulkWorkflowService.php,ProductAiBulkWorkflowService,"Bulk review lifecycle","Products Drafts Jobs ledger","Drafts Jobs ledgers",YES,ai_governed,"Products table bulk actions","ProductAiBulkWorkflowTest"
app/Services/AI/ProductBulkGenerationManifest.php,ProductBulkGenerationManifest,"Immutable selection manifest","selection context","manifest",NO,NO,"bulk generation","ProductAiBulkWorkflowTest"
app/Services/AI/ProductBulkTargetResolver.php,ProductBulkTargetResolver,"Resolve selected/filter/search targets","Products query filters",NONE,NO,NO,"bulk preflight","ProductAiBulkWorkflowTest"
app/Services/AI/AIProductIdempotencyService.php,AIProductIdempotencyService,"Operation/runtime deduplication","leases Items Jobs","leases/keys",YES,NO,"worker/generation","AIProductContentSystemTest"
app/Services/AI/AiProductLiveStatusService.php,AiProductLiveStatusService,"Live Product/Job status DTO","Jobs Items Drafts queue",NONE,NO,NO,"Livewire/status endpoint","ProductAiStatusEndpointTest"
app/Services/AI/AiProductWarningClassifier.php,AiProductWarningClassifier,"Warning categories and labels","warning codes",NONE,NO,NO,"preview/apply/actions","AiGuardPolicyTest"
app/Services/AI/AiGuardPolicy.php,AiGuardPolicy,"Editorial and technical safety policy","settings facts warnings",NONE,NO,NO,"content system/apply","AiGuardPolicyTest"
app/Services/AI/AIQueueMonitor.php,AIQueueMonitor,"Worker health and stuck recovery","heartbeats queue Jobs Items","heartbeats Jobs Items dispatch",YES,ai_governed,"commands/ops UI","AIQueueOperationsTest"
app/Services/AI/SingleOperatorControlledRolloutPolicy.php,SingleOperatorControlledRolloutPolicy,"Rollout and mutation authorization","settings user permissions",NONE,NO,NO,"single/bulk Filament","Phase2I2SingleOperatorPolicyTest; AIProductActionRbacCertificationTest"
