STATE,ENTITY,TERMINAL,ACTIONABLE,BLOCKS_GENERATE,BLOCKS_APPLY,NEXT_STATES,SOURCE_FILE
QUEUED,Job/Item,NO,NO,YES,YES,"RUNNING|VALIDATING|FAILED|CANCELLED|BLOCKED",app/Services/AI/AIJobStateMachine.php
RUNNING,Job/Item,NO,NO,YES,YES,"QUEUED|VALIDATING|FAILED|BLOCKED|CANCELLED",app/Services/AI/AIJobStateMachine.php
VALIDATING,Job/Item,NO,NO,YES,YES,"FACT_CHECKING|FAILED|BLOCKED",app/Services/AI/AIJobStateMachine.php
FACT_CHECKING,Job/Item,NO,NO,YES,YES,"REVIEW_REQUIRED|DONE|FAILED|BLOCKED",app/Services/AI/AIJobStateMachine.php
REVIEW_REQUIRED,Item,YES,YES,YES,YES,"DONE|BLOCKED|CANCELLED",app/Services/AI/AIJobStateMachine.php
DONE,Job/Item,YES,NO,NO,NO,"",app/Services/AI/AIJobStateMachine.php
FAILED,Job/Item,YES,NO,NO,NO,"QUEUED|CANCELLED|BLOCKED (current unsafe contract)",app/Services/AI/AIJobStateMachine.php
BLOCKED,Job/Item,YES,NO,NO,YES,"REVIEW_REQUIRED|CANCELLED",app/Services/AI/AIJobStateMachine.php
CANCELLED,Job/Item,YES,NO,NO,NO,"",app/Services/AI/AIJobStateMachine.php
REVIEW_REQUIRED,Draft,NO,YES,YES,YES,"APPROVED_FOR_APPLY|REJECTED|DISCARDED",app/Models/AiProductDraft.php
APPROVED_FOR_APPLY,Draft,NO,YES,YES,NO,"APPLYING|APPLIED|DISCARDED",app/Services/AI/ProductAiApplyReadiness.php
APPLYING,Draft,NO,NO,YES,YES,"APPLIED|APPROVED_FOR_APPLY",app/Services/Product/AIProductDraftApplyService.php
REJECTED,Draft,YES,NO,NO,YES,"",app/Models/AiProductDraft.php
DISCARDED,Draft,YES,NO,NO,YES,"",app/Models/AiProductDraft.php
APPLIED,Draft,YES,NO,NO,NO,"",app/Models/AiProductDraft.php
