JOB_ID,ITEM_ID,PRODUCT_ID,STATUS,PROVIDER_CALLED,TOKEN_USAGE,RESPONSE_PRESENT,PARSE_STATUS,DRAFT_PRESENT,CONTENT_LENGTH,VALIDATION_STATUS,FAILURE_CLASS,ROOT_CAUSE
47,169,1238,BLOCKED,YES,10110,YES,PARSED,YES,6526,FACT_CHECK_BLOCKED,FACT_CHECK_FAILURE,ambiguous_capacity_claim blocked after payload persistence
46,168,1237,BLOCKED,NO,0,NO,NOT_RUN,NO,0,BLOCKED,BLOCKED,stale recovery gate
45,167,1242,REVIEW_REQUIRED,YES,0,YES,PARSED,YES,4116,REVIEW_REQUIRED,VALIDATION_WARNING,persisted draft requires review
44,166,1239,REVIEW_REQUIRED,NO,0,YES,LOCAL_CORRECTION,YES,3778,REVIEW_REQUIRED,CONTROLLED_PATCH,governed local correction path
43,165,1246,REVIEW_REQUIRED,YES,5270,YES,PARSED,YES,3055,REVIEW_REQUIRED,VALIDATION_FAILURE,content warning and missing verified technical facts
43,164,1240,REVIEW_REQUIRED,YES,5677,YES,PARSED,YES,4051,REVIEW_REQUIRED,VALIDATION_FAILURE,content warning and missing verified technical facts
42,163,1246,FAILED,NO,0,NO,NOT_AVAILABLE,NO,0,FAILED,SCHEMA_FAILURE,failed before provider result was attached to item
41,160,1246,BLOCKED,NO,0,NO,NOT_RUN,NO,0,BLOCKED,BLOCKED,duplicate in progress
40,157,1246,FAILED,NO,0,NO,NOT_AVAILABLE,NO,0,FAILED,UNKNOWN,provider/job exception evidence unavailable in item
36,149,1239,REVIEW_REQUIRED,YES,5299,YES,PARSED,YES,1910,REVIEW_REQUIRED,VALIDATION_FAILURE,content warning and missing verified technical facts
48,170,1328,QUEUED,NO,0,NO,NOT_RUN,NO,0,QUEUED,NOT_STARTED,queued local item
