PRODUCT,JOB,ITEM,STATE,LAST_UPDATE,QUEUE_JOB_EXISTS,WORKER_ACTIVE,AGE,CLASSIFICATION
"multiple",36,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",40,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",42,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",43,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",44,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",47,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",48,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",49,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",50,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",53,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",54,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",55,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",56,"child set terminal/actionable",QUEUED,"baseline capture",NO,NO,"historical",PARENT_CHILD_MISMATCH
"multiple",57,"child set terminal/actionable",RUNNING,"finished_at populated",NO,NO,"historical",PARENT_ACTIVE_WITH_FINISHED_AT
