configured_tier_btu,configured,exact_eligible_product,exact_product_count,next_actual_eligible_capacity_btu,gap_btu,status
9000,YES,NO,0,18000,9000,CATALOG_GAP
12000,YES,NO,0,18000,6000,CATALOG_GAP
18000,YES,YES,5,18000,0,EXACT
24000,YES,YES,5,24000,0,EXACT
28000,YES,NO,0,30000,2000,CATALOG_GAP
30000,YES,YES,2,30000,0,EXACT
36000,YES,YES,2,36000,0,EXACT
42000,YES,YES,4,42000,0,EXACT
45000,YES,NO,0,47800,2800,CATALOG_GAP
48000,YES,YES,3,48000,0,EXACT
50000,YES,NO,0,51200,1200,CATALOG_GAP
60000,YES,NO,0,,,NO_ELIGIBLE_PRODUCT
100000,YES,NO,0,,,NO_ELIGIBLE_PRODUCT
