space_key,area_m2,height_m,v1_raw_btu,v1_tier,v1_marketing_hp,v2_proposal_raw_btu,v2_proposal_tier,v2_marketing_hp,raw_delta_btu,tier_delta_btu,tier_delta_hp_equivalent,v1_volume_raw_btu,v1_volume_tier,v2_volume_proposal_raw_btu,v2_volume_proposal_tier,confidence,status
nha_o,20,2.7,8189,9000,1,12000,12000,1.3,3811,3000,0.33,7370,9000,10800,12000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_o,30,3,12283,18000,2,17999,18000,2,5716,0,0,12283,18000,17999,18000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_o,30,4,16336,18000,2,23939,24000,2.7,7603,6000,0.67,16378,18000,23999,24000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_o,50,3,20472,24000,2.7,29999,30000,3.3,9527,6000,0.67,20472,24000,29999,30000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_o,50,4,27228,28000,3.1,39899,42000,4.7,12671,14000,1.56,27296,28000,39998,42000,HIGH,PROPOSAL_NOT_ACTIVATED
phong_khach,20,2.7,8189,9000,1,13999,18000,2,5810,9000,1,7370,9000,12599,18000,MEDIUM,PROPOSAL_NOT_ACTIVATED
phong_khach,30,3,12283,18000,2,20999,24000,2.7,8716,6000,0.67,12283,18000,20999,24000,MEDIUM,PROPOSAL_NOT_ACTIVATED
phong_khach,30,4,16336,18000,2,27929,28000,3.1,11593,10000,1.11,16378,18000,27999,28000,MEDIUM,PROPOSAL_NOT_ACTIVATED
phong_khach,50,3,20472,24000,2.7,34999,36000,4,14527,12000,1.33,20472,24000,34999,36000,MEDIUM,PROPOSAL_NOT_ACTIVATED
phong_khach,50,4,27228,28000,3.1,46549,48000,5.3,19321,20000,2.22,27296,28000,46665,48000,MEDIUM,PROPOSAL_NOT_ACTIVATED
van_phong,20,2.7,11601,12000,1.3,14999,18000,2,3398,6000,0.67,10441,12000,13499,18000,HIGH,PROPOSAL_NOT_ACTIVATED
van_phong,30,3,17401,18000,2,22499,24000,2.7,5098,6000,0.67,17401,18000,22499,24000,HIGH,PROPOSAL_NOT_ACTIVATED
van_phong,30,4,23143,24000,2.7,29924,30000,3.3,6781,6000,0.67,23202,24000,29999,30000,HIGH,PROPOSAL_NOT_ACTIVATED
van_phong,50,3,29002,30000,3.3,37498,42000,4.7,8496,12000,1.33,29002,30000,37498,42000,HIGH,PROPOSAL_NOT_ACTIVATED
van_phong,50,4,38573,42000,4.7,49872,50000,5.6,11299,8000,0.89,38669,42000,49998,50000,HIGH,PROPOSAL_NOT_ACTIVATED
cua_hang,20,2.7,11260,12000,1.3,15999,18000,2,4739,6000,0.67,10134,12000,14399,18000,MEDIUM,PROPOSAL_NOT_ACTIVATED
cua_hang,30,3,16889,18000,2,23999,24000,2.7,7110,6000,0.67,16889,18000,23999,24000,MEDIUM,PROPOSAL_NOT_ACTIVATED
cua_hang,30,4,22462,24000,2.7,31919,36000,4,9457,12000,1.33,22519,24000,31999,36000,MEDIUM,PROPOSAL_NOT_ACTIVATED
cua_hang,50,3,28149,30000,3.3,39998,42000,4.7,11849,12000,1.33,28149,30000,39998,42000,MEDIUM,PROPOSAL_NOT_ACTIVATED
cua_hang,50,4,37438,42000,4.7,53197,60000,6.7,15759,18000,2,37532,42000,53331,60000,MEDIUM,PROPOSAL_NOT_ACTIVATED
nha_hang,20,2.7,22519,24000,2.7,18999,24000,2.7,-3520,0,0,20267,24000,17099,18000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_hang,30,3,33779,36000,4,28499,30000,3.3,-5280,-6000,-0.67,33779,36000,28499,30000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_hang,30,4,44926,45000,5,37904,42000,4.7,-7022,-3000,-0.33,45038,48000,37998,42000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_hang,50,3,56298,60000,6.7,47498,48000,5.3,-8800,-12000,-1.33,56298,60000,47498,48000,HIGH,PROPOSAL_NOT_ACTIVATED
nha_hang,50,4,74876,100000,11.1,63172,100000,11.1,-11704,0,0,75064,100000,63331,100000,HIGH,PROPOSAL_NOT_ACTIVATED
phong_hop,20,2.7,18766,24000,2.7,18766,24000,2.7,0,0,0,16889,18000,16889,18000,LOW,PROPOSAL_NOT_ACTIVATED
phong_hop,30,3,28149,30000,3.3,28149,30000,3.3,0,0,0,28149,30000,28149,30000,LOW,PROPOSAL_NOT_ACTIVATED
phong_hop,30,4,37438,42000,4.7,37438,42000,4.7,0,0,0,37532,42000,37532,42000,LOW,PROPOSAL_NOT_ACTIVATED
phong_hop,50,3,46915,48000,5.3,46915,48000,5.3,0,0,0,46915,48000,46915,48000,LOW,PROPOSAL_NOT_ACTIVATED
phong_hop,50,4,62397,100000,11.1,62397,100000,11.1,0,0,0,62553,100000,62553,100000,LOW,PROPOSAL_NOT_ACTIVATED
showroom,20,2.7,20472,24000,2.7,20472,24000,2.7,0,0,0,18425,24000,18425,24000,LOW,PROPOSAL_NOT_ACTIVATED
showroom,30,3,30708,36000,4,30708,36000,4,0,0,0,30708,36000,30708,36000,LOW,PROPOSAL_NOT_ACTIVATED
showroom,30,4,40842,42000,4.7,40842,42000,4.7,0,0,0,40944,42000,40944,42000,LOW,PROPOSAL_NOT_ACTIVATED
showroom,50,3,51180,60000,6.7,51180,60000,6.7,0,0,0,51180,60000,51180,60000,LOW,PROPOSAL_NOT_ACTIVATED
showroom,50,4,68069,100000,11.1,68069,100000,11.1,0,0,0,68240,100000,68240,100000,LOW,PROPOSAL_NOT_ACTIVATED
