key,label,w_per_m3,derivation,authority_status
nha_o,"Căn hộ, nhà ở",40,120 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
phong_khach,"Phòng khách (nhà ở)",40,120 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
khach_san,"Khách sạn, nhà nghỉ",40,120 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
van_phong,"Văn phòng (viền ngoài)",56.6666667,170 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
van_phong_interior,"Văn phòng (bên trong)",33.3333333,100 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
van_phong_private,"Văn phòng cá nhân",60,180 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
cua_hang,"Cửa hàng",55,165 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
sieu_thi,"Siêu thị",53.3333333,160 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
showroom,Showroom,100,300 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
ngan_hang,"Ngân hàng",58.3333333,175 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
nha_hang,"Nhà hàng",110,330 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
cafe,"Quán cà phê",116.6666667,350 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
fastfood,"Thức ăn nhanh, giải khát",90,270 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
hoi_truong,"Hội trường, giảng đường",93.3333333,280 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
phong_hop,"Phòng họp",91.6666667,275 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
phong_hoc,"Phòng học",31.6666667,95 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
thu_vien,"Thư viện",50,150 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
rap_hat,"Rạp hát",93.3333333,280 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
benh_vien,"Bệnh viện, phòng khám",63.3333333,190 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
phong_duoc,"Văn phòng dược",61.6666667,185 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
nha_xuong,"Nhà xưởng (CN nhẹ)",91.6666667,275 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
nha_xuong_nang,"Nhà xưởng (CN nặng)",163.3333333,490 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
phong_may_tinh,"Phòng máy tính / Server",160,480 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
phong_thi_nghiem,"Phòng thí nghiệm",76.6666667,230 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
tham_my_vien,"Thẩm mỹ viện",86.6666667,260 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
sanh_hanh_lang,"Sảnh, hành lang",45,135 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
tang_ham,"Tầng hầm",41.6666667,125 W/m² / 3m,PROJECT_DERIVED_NOT_INDEPENDENTLY_VERIFIED
