series,model,technical_spec_complete_pct,feature_mapping_complete_pct,ambiguous_fields,missing_fields,source_pages,import_ready,blocker
FTKZ,FTKZ25VVMV/RKZ25VVMV,71.08,100,,heating_capacity_kw_nominal;heating_capacity_kw_min;heating_capacity_kw_max;heating_capacity_btu_nominal;heating_capacity_btu_min;heating_capacity_btu_max;rated_current_heating_a;power_consumption_heating_w_nominal;power_consumption_heating_w_min;power_consumption_heating_w_max;indoor_airflow_heating_high_m3_min;indoor_airflow_heating_medium_m3_min;indoor_airflow_heating_low_m3_min;indoor_airflow_heating_quiet_m3_min;indoor_noise_heating_high_db;indoor_noise_heating_medium_db;indoor_noise_heating_low_db;indoor_noise_heating_quiet_db;refrigerant_type;outdoor_noise_heating_high_db;outdoor_noise_heating_low_db;heating_operating_min_c;heating_operating_max_c;heating_operating_temperature_basis,40,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTKM,FTKM25AVMV/RKM25AVMV,71.08,100,,heating_capacity_kw_nominal;heating_capacity_kw_min;heating_capacity_kw_max;heating_capacity_btu_nominal;heating_capacity_btu_min;heating_capacity_btu_max;rated_current_heating_a;power_consumption_heating_w_nominal;power_consumption_heating_w_min;power_consumption_heating_w_max;indoor_airflow_heating_high_m3_min;indoor_airflow_heating_medium_m3_min;indoor_airflow_heating_low_m3_min;indoor_airflow_heating_quiet_m3_min;indoor_noise_heating_high_db;indoor_noise_heating_medium_db;indoor_noise_heating_low_db;indoor_noise_heating_quiet_db;refrigerant_type;outdoor_noise_heating_high_db;outdoor_noise_heating_low_db;heating_operating_min_c;heating_operating_max_c;heating_operating_temperature_basis,40,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTKY,FTKY25ZVMV/RKY25ZVMV,71.08,100,,heating_capacity_kw_nominal;heating_capacity_kw_min;heating_capacity_kw_max;heating_capacity_btu_nominal;heating_capacity_btu_min;heating_capacity_btu_max;rated_current_heating_a;power_consumption_heating_w_nominal;power_consumption_heating_w_min;power_consumption_heating_w_max;indoor_airflow_heating_high_m3_min;indoor_airflow_heating_medium_m3_min;indoor_airflow_heating_low_m3_min;indoor_airflow_heating_quiet_m3_min;indoor_noise_heating_high_db;indoor_noise_heating_medium_db;indoor_noise_heating_low_db;indoor_noise_heating_quiet_db;refrigerant_type;outdoor_noise_heating_high_db;outdoor_noise_heating_low_db;heating_operating_min_c;heating_operating_max_c;heating_operating_temperature_basis,40,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTKF,FTKF25ZVMV/RKF25ZVMV,71.08,100,,heating_capacity_kw_nominal;heating_capacity_kw_min;heating_capacity_kw_max;heating_capacity_btu_nominal;heating_capacity_btu_min;heating_capacity_btu_max;rated_current_heating_a;power_consumption_heating_w_nominal;power_consumption_heating_w_min;power_consumption_heating_w_max;indoor_airflow_heating_high_m3_min;indoor_airflow_heating_medium_m3_min;indoor_airflow_heating_low_m3_min;indoor_airflow_heating_quiet_m3_min;indoor_noise_heating_high_db;indoor_noise_heating_medium_db;indoor_noise_heating_low_db;indoor_noise_heating_quiet_db;refrigerant_type;outdoor_noise_heating_high_db;outdoor_noise_heating_low_db;heating_operating_min_c;heating_operating_max_c;heating_operating_temperature_basis,40,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTHB,FTHB25ZVMV/RHB25ZVMV,98.8,100,,refrigerant_type,41,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTKB,FTKB25ZVMV/RKB25ZVMV,71.08,100,,heating_capacity_kw_nominal;heating_capacity_kw_min;heating_capacity_kw_max;heating_capacity_btu_nominal;heating_capacity_btu_min;heating_capacity_btu_max;rated_current_heating_a;power_consumption_heating_w_nominal;power_consumption_heating_w_min;power_consumption_heating_w_max;indoor_airflow_heating_high_m3_min;indoor_airflow_heating_medium_m3_min;indoor_airflow_heating_low_m3_min;indoor_airflow_heating_quiet_m3_min;indoor_noise_heating_high_db;indoor_noise_heating_medium_db;indoor_noise_heating_low_db;indoor_noise_heating_quiet_db;refrigerant_type;outdoor_noise_heating_high_db;outdoor_noise_heating_low_db;heating_operating_min_c;heating_operating_max_c;heating_operating_temperature_basis,41,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTF,FTF25XAV1V/RF25XAV1V,60.24,100,,cooling_capacity_kw_min;cooling_capacity_kw_max;cooling_capacity_btu_min;cooling_capacity_btu_max;heating_capacity_kw_nominal;heating_capacity_kw_min;heating_capacity_kw_max;heating_capacity_btu_nominal;heating_capacity_btu_min;heating_capacity_btu_max;rated_current_heating_a;power_consumption_cooling_w_min;power_consumption_cooling_w_max;power_consumption_heating_w_nominal;power_consumption_heating_w_min;power_consumption_heating_w_max;indoor_airflow_cooling_quiet_m3_min;indoor_airflow_heating_high_m3_min;indoor_airflow_heating_medium_m3_min;indoor_airflow_heating_low_m3_min;indoor_airflow_heating_quiet_m3_min;indoor_noise_cooling_quiet_db;indoor_noise_heating_high_db;indoor_noise_heating_medium_db;indoor_noise_heating_low_db;indoor_noise_heating_quiet_db;refrigerant_type;outdoor_noise_cooling_low_db;outdoor_noise_heating_high_db;outdoor_noise_heating_low_db;heating_operating_min_c;heating_operating_max_c;heating_operating_temperature_basis,41,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTXM,FTXM25XVMV/RXM25XVMV,98.8,100,,refrigerant_type,41,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTXV,FTXV25QVMV/RXV25QVMV,98.8,100,,refrigerant_type,41,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
FTHF,FTHF25XVMV/RHF25XVMV,98.8,100,,refrigerant_type,41,REVIEW_REQUIRED,MISSING_WALL_MOUNTED_CATEGORY_AND_ACTIVE_TECHNICAL_SCHEMA
