model,field,system_value,catalog_value,source_page,decision,notes
ATKF25ZVMV/ARKF25ZVMV,model_code,,ATKF25ZVMV/ARKF25ZVMV,40,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKF25ZVMV/RKF25ZVMV,model_code,,FTKF25ZVMV/RKF25ZVMV,40,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKM25AVMV/RKM25AVMV,model_code,,FTKM25AVMV/RKM25AVMV,40,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKY25ZVMV/RKY25ZVMV,model_code,,FTKY25ZVMV/RKY25ZVMV,40,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKZ25VVMV/RKZ25VVMV,model_code,,FTKZ25VVMV/RKZ25VVMV,40,CATALOG_ONLY,"No exact Product or catalog-model code match."
ATKB25ZVMV/ARKB25ZVMV,model_code,,ATKB25ZVMV/ARKB25ZVMV,41,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTF25XAV1V/RF25XAV1V,model_code,,FTF25XAV1V/RF25XAV1V,41,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTHB25ZVMV/RHB25ZVMV,model_code,,FTHB25ZVMV/RHB25ZVMV,41,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTHF25XVMV/RHF25XVMV,model_code,,FTHF25XVMV/RHF25XVMV,41,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKB25ZVMV/RKB25ZVMV,model_code,,FTKB25ZVMV/RKB25ZVMV,41,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTXM25XVMV/RXM25XVMV,model_code,,FTXM25XVMV/RXM25XVMV,41,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTXV25QVMV/RXV25QVMV,model_code,,FTXV25QVMV/RXV25QVMV,41,CATALOG_ONLY,"No exact Product or catalog-model code match."
ATKF35ZVMV/ARKF35ZVMV,model_code,,ATKF35ZVMV/ARKF35ZVMV,42,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKF35ZVMV/RKF35ZVMV,model_code,,FTKF35ZVMV/RKF35ZVMV,42,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKM35AVMV/RKM35AVMV,model_code,,FTKM35AVMV/RKM35AVMV,42,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKY35ZVMV/RKY35ZVMV,model_code,,FTKY35ZVMV/RKY35ZVMV,42,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKZ35VVMV/RKZ35VVMV,model_code,,FTKZ35VVMV/RKZ35VVMV,42,CATALOG_ONLY,"No exact Product or catalog-model code match."
ATKB35ZVMV/ARKB35ZVMV,model_code,,ATKB35ZVMV/ARKB35ZVMV,43,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTF35XAV1V/RF35XAV1V,model_code,,FTF35XAV1V/RF35XAV1V,43,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTHB35ZVMV/RHB35ZVMV,model_code,,FTHB35ZVMV/RHB35ZVMV,43,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTHF35XVMV/RHF35XVMV,model_code,,FTHF35XVMV/RHF35XVMV,43,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTKB35ZVMV/RKB35ZVMV,model_code,,FTKB35ZVMV/RKB35ZVMV,43,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTXM35XVMV/RXM35XVMV,model_code,,FTXM35XVMV/RXM35XVMV,43,CATALOG_ONLY,"No exact Product or catalog-model code match."
FTXV35QVMV/RXV35QVMV,model_code,,FTXV35QVMV/RXV35QVMV,43,CATALOG_ONLY,"No exact Product or catalog-model code match."
