series,catalog_matrix_group,feature_key,feature_name_vi,feature_name_en,category,availability,condition,source_page,confidence
FTKZ,FTKZ,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,YES,,4-5,VERIFIED
FTKM,FTKM,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTKY,FTKY,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTKF,FTKF_ATKF,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTHB,FTHB,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTF,FTF,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTXM,FTXM,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,YES,,4-5,VERIFIED
FTXV,FTXV,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTHF,FTHF,hybrid_cooling,Điều tiết đồng thời độ ẩm và nhiệt độ,Hybrid Cooling,humidity,NO,,4-5,VERIFIED
FTKZ,FTKZ,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTKM,FTKM,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTKY,FTKY,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTHB,FTHB,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTF,FTF,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTXM,FTXM,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTXV,FTXV,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,NO,,4-5,VERIFIED
FTHF,FTHF,humidity_sensor,Cảm biến ẩm,Humidity Sensor,humidity,YES,,4-5,VERIFIED
FTKZ,FTKZ,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,NO,,4-5,VERIFIED
FTKM,FTKM,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,NO,,4-5,VERIFIED
FTKY,FTKY,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,NO,,4-5,VERIFIED
FTKF,FTKF_ATKF,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,YES,,4-5,VERIFIED
FTHB,FTHB,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,YES,,4-5,VERIFIED
FTF,FTF,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,NO,,4-5,VERIFIED
FTXM,FTXM,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,NO,,4-5,VERIFIED
FTXV,FTXV,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,NO,,4-5,VERIFIED
FTHF,FTHF,humi_comfort,Kiểm soát độ ẩm,Humi Comfort,humidity,NO,,4-5,VERIFIED
FTKZ,FTKZ,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTKM,FTKM,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,YES,,4-5,VERIFIED
FTKY,FTKY,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTKF,FTKF_ATKF,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTHB,FTHB,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTF,FTF,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTXM,FTXM,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTXV,FTXV,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTHF,FTHF,humi_comfort_plus,Kiểm soát độ ẩm,Humi Comfort Plus,humidity,NO,,4-5,VERIFIED
FTKZ,FTKZ,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,YES,,4-5,VERIFIED
FTKM,FTKM,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,YES,,4-5,VERIFIED
FTKY,FTKY,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,NO,,4-5,VERIFIED
FTHB,FTHB,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,NO,,4-5,VERIFIED
FTF,FTF,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,NO,,4-5,VERIFIED
FTXM,FTXM,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,NO,,4-5,VERIFIED
FTXV,FTXV,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,NO,,4-5,VERIFIED
FTHF,FTHF,streamer,Công nghệ Streamer,Công nghệ Streamer,air_quality,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTKZ,FTKZ,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,YES,,4-5,VERIFIED
FTKM,FTKM,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,YES,,4-5,VERIFIED
FTKY,FTKY,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,NO,,4-5,VERIFIED
FTHB,FTHB,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,NO,,4-5,VERIFIED
FTF,FTF,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,NO,,4-5,VERIFIED
FTXM,FTXM,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,NO,,4-5,VERIFIED
FTXV,FTXV,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,NO,,4-5,VERIFIED
FTHF,FTHF,anti_mold_streamer,Chống ẩm mốc kết hợp Streamer,Chống ẩm mốc kết hợp Streamer,air_quality,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTKZ,FTKZ,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
FTKM,FTKM,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
FTKY,FTKY,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
FTKF,FTKF_ATKF,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,YES,,4-5,VERIFIED
FTHB,FTHB,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,YES,,4-5,VERIFIED
FTF,FTF,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
FTXM,FTXM,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
FTXV,FTXV,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,NO,,4-5,VERIFIED
FTHF,FTHF,anti_mold_indoor,Chống ẩm mốc bên trong dàn lạnh,Chống ẩm mốc bên trong dàn lạnh,air_quality,MODEL_SPECIFIC,50/60/71 only,4-5,VERIFIED
FTKZ,FTKZ,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,MODEL_SPECIFIC,Enzyme Blue; catalog does not mark PM2.5,4-5,VERIFIED
FTKM,FTKM,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,YES,,4-5,VERIFIED
FTKY,FTKY,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,MODEL_SPECIFIC,50/60/71 only,4-5,VERIFIED
ATKF,FTKF_ATKF,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTKB,FTKB_ATKB,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,YES,ATKB25/35,4-5,VERIFIED
FTHB,FTHB,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,OPTIONAL,Tùy chọn,4-5,VERIFIED
FTF,FTF,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,OPTIONAL,Tùy chọn,4-5,VERIFIED
FTXM,FTXM,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,YES,,4-5,VERIFIED
FTXV,FTXV,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,MODEL_SPECIFIC,Enzyme Blue; catalog does not mark PM2.5,4-5,VERIFIED
FTHF,FTHF,enzyme_blue_pm25,Phin lọc Enzyme Blue kết hợp PM2.5,Phin lọc Enzyme Blue kết hợp PM2.5,air_quality,YES,,4-5,VERIFIED
FTKZ,FTKZ,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTKM,FTKM,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTKY,FTKY,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTHB,FTHB,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTF,FTF,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTXM,FTXM,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTXV,FTXV,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTHF,FTHF,powerful,Làm lạnh nhanh,Làm lạnh nhanh Powerful,comfort,YES,,4-5,VERIFIED
FTKZ,FTKZ,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTKM,FTKM,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTKY,FTKY,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTHB,FTHB,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTF,FTF,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTXM,FTXM,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTXV,FTXV,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTHF,FTHF,indoor_quiet,Dàn lạnh yên tĩnh,Chế độ dàn lạnh vận hành yên tĩnh,comfort,YES,,4-5,VERIFIED
FTKZ,FTKZ,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTKM,FTKM,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTKY,FTKY,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,outdoor_quiet,Dàn nóng êm ái,Chế độ dàn nóng vận hành êm ái,comfort,YES,,4-5,VERIFIED
