series,indoor_model,outdoor_model,system_model,cooling_heating_type,inverter,hp_class,market_channel,source_page,confidence,notes
ATKF,ATKF25ZVMV,ARKF25ZVMV,ATKF25ZVMV/ARKF25ZVMV,COOLING_ONLY,YES,1 HP,SUPERMARKET,40,VERIFIED,Paired from the same technical-table column.
FTKF,FTKF25ZVMV,RKF25ZVMV,FTKF25ZVMV/RKF25ZVMV,COOLING_ONLY,YES,1 HP,TRADITIONAL,40,VERIFIED,Paired from the same technical-table column.
FTKM,FTKM25AVMV,RKM25AVMV,FTKM25AVMV/RKM25AVMV,COOLING_ONLY,YES,1 HP,TRADITIONAL_AND_SUPERMARKET,40,VERIFIED,Paired from the same technical-table column.
FTKY,FTKY25ZVMV,RKY25ZVMV,FTKY25ZVMV/RKY25ZVMV,COOLING_ONLY,YES,1 HP,TRADITIONAL_AND_SUPERMARKET,40,VERIFIED,Paired from the same technical-table column.
FTKZ,FTKZ25VVMV,RKZ25VVMV,FTKZ25VVMV/RKZ25VVMV,COOLING_ONLY,YES,1 HP,TRADITIONAL_AND_SUPERMARKET,40,VERIFIED,Paired from the same technical-table column.
ATKB,ATKB25ZVMV,ARKB25ZVMV,ATKB25ZVMV/ARKB25ZVMV,COOLING_ONLY,YES,1 HP,SUPERMARKET,41,VERIFIED,Paired from the same technical-table column.
FTF,FTF25XAV1V,RF25XAV1V,FTF25XAV1V/RF25XAV1V,COOLING_ONLY,NO,1 HP,TRADITIONAL_AND_SUPERMARKET,41,VERIFIED,Paired from the same technical-table column.
FTHB,FTHB25ZVMV,RHB25ZVMV,FTHB25ZVMV/RHB25ZVMV,HEAT_PUMP,YES,1 HP,TRADITIONAL_AND_SUPERMARKET,41,VERIFIED,Paired from the same technical-table column.
FTHF,FTHF25XVMV,RHF25XVMV,FTHF25XVMV/RHF25XVMV,HEAT_PUMP,YES,1 HP,TRADITIONAL_AND_SUPERMARKET,41,VERIFIED,Paired from the same technical-table column.
FTKB,FTKB25ZVMV,RKB25ZVMV,FTKB25ZVMV/RKB25ZVMV,COOLING_ONLY,YES,1 HP,TRADITIONAL,41,VERIFIED,Paired from the same technical-table column.
FTXM,FTXM25XVMV,RXM25XVMV,FTXM25XVMV/RXM25XVMV,HEAT_PUMP,YES,1 HP,TRADITIONAL_AND_SUPERMARKET,41,VERIFIED,Paired from the same technical-table column.
FTXV,FTXV25QVMV,RXV25QVMV,FTXV25QVMV/RXV25QVMV,HEAT_PUMP,YES,1 HP,TRADITIONAL_AND_SUPERMARKET,41,VERIFIED,Paired from the same technical-table column.
ATKF,ATKF35ZVMV,ARKF35ZVMV,ATKF35ZVMV/ARKF35ZVMV,COOLING_ONLY,YES,1.5 HP,SUPERMARKET,42,VERIFIED,Paired from the same technical-table column.
FTKF,FTKF35ZVMV,RKF35ZVMV,FTKF35ZVMV/RKF35ZVMV,COOLING_ONLY,YES,1.5 HP,TRADITIONAL,42,VERIFIED,Paired from the same technical-table column.
FTKM,FTKM35AVMV,RKM35AVMV,FTKM35AVMV/RKM35AVMV,COOLING_ONLY,YES,1.5 HP,TRADITIONAL_AND_SUPERMARKET,42,VERIFIED,Paired from the same technical-table column.
FTKY,FTKY35ZVMV,RKY35ZVMV,FTKY35ZVMV/RKY35ZVMV,COOLING_ONLY,YES,1.5 HP,TRADITIONAL_AND_SUPERMARKET,42,VERIFIED,Paired from the same technical-table column.
FTKZ,FTKZ35VVMV,RKZ35VVMV,FTKZ35VVMV/RKZ35VVMV,COOLING_ONLY,YES,1.5 HP,TRADITIONAL_AND_SUPERMARKET,42,VERIFIED,Paired from the same technical-table column.
ATKB,ATKB35ZVMV,ARKB35ZVMV,ATKB35ZVMV/ARKB35ZVMV,COOLING_ONLY,YES,1.5 HP,SUPERMARKET,43,VERIFIED,Paired from the same technical-table column.
FTF,FTF35XAV1V,RF35XAV1V,FTF35XAV1V/RF35XAV1V,COOLING_ONLY,NO,1.5 HP,TRADITIONAL_AND_SUPERMARKET,43,VERIFIED,Paired from the same technical-table column.
FTHB,FTHB35ZVMV,RHB35ZVMV,FTHB35ZVMV/RHB35ZVMV,HEAT_PUMP,YES,1.5 HP,TRADITIONAL_AND_SUPERMARKET,43,VERIFIED,Paired from the same technical-table column.
FTHF,FTHF35XVMV,RHF35XVMV,FTHF35XVMV/RHF35XVMV,HEAT_PUMP,YES,1.5 HP,TRADITIONAL_AND_SUPERMARKET,43,VERIFIED,Paired from the same technical-table column.
FTKB,FTKB35ZVMV,RKB35ZVMV,FTKB35ZVMV/RKB35ZVMV,COOLING_ONLY,YES,1.5 HP,TRADITIONAL,43,VERIFIED,Paired from the same technical-table column.
FTXM,FTXM35XVMV,RXM35XVMV,FTXM35XVMV/RXM35XVMV,HEAT_PUMP,YES,1.5 HP,TRADITIONAL_AND_SUPERMARKET,43,VERIFIED,Paired from the same technical-table column.
FTXV,FTXV35QVMV,RXV35QVMV,FTXV35QVMV/RXV35QVMV,HEAT_PUMP,YES,1.5 HP,TRADITIONAL_AND_SUPERMARKET,43,VERIFIED,Paired from the same technical-table column.
FTKF,FTKF50ZVMV,RKF50ZVMV,FTKF50ZVMV/RKF50ZVMV,COOLING_ONLY,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,44,VERIFIED,Paired from the same technical-table column.
FTKM,FTKM50AVMV,RKM50AVMV,FTKM50AVMV/RKM50AVMV,COOLING_ONLY,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,44,VERIFIED,Paired from the same technical-table column.
FTKY,FTKY50ZVMV,RKY50ZVMV,FTKY50ZVMV/RKY50ZVMV,COOLING_ONLY,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,44,VERIFIED,Paired from the same technical-table column.
FTKZ,FTKZ50VVMV,RKZ50VVMV,FTKZ50VVMV/RKZ50VVMV,COOLING_ONLY,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,44,VERIFIED,Paired from the same technical-table column.
FTF,FTF50XV1V,RF50XV1V,FTF50XV1V/RF50XV1V,COOLING_ONLY,NO,2 HP,TRADITIONAL_AND_SUPERMARKET,45,VERIFIED,Paired from the same technical-table column.
FTHB,FTHB50ZVMV,RHB50ZVMV,FTHB50ZVMV/RHB50ZVMV,HEAT_PUMP,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,45,VERIFIED,Paired from the same technical-table column.
FTHF,FTHF50AVMV,RHF50AVMV,FTHF50AVMV/RHF50AVMV,HEAT_PUMP,YES,2 HP,TRADITIONAL_AND_SUPERMARKET,45,VERIFIED,Paired from the same technical-table column.
