combination,feature_completeness,identity_completeness,import_readiness,issues,pairing_confidence,schema_readiness,technical_completeness
FCTF50AVM/RZF50DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF50CVM/RZF50DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF60AVM/RZF60DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF60CVM/RZF60DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF71AVM/RZF71DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF71CVM/RZF71DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF100AVM/RZF100DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF100CVM/RZF100DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF125BVM/RZF125DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF125DVM/RZF125DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF140BVM/RZF140DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF140DVM/RZF140DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF100AVM/RZF100CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF100CVM/RZF100CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF125AVM/RZF125CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF125CVM/RZF125CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF140AVM/RZF140CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF140CVM/RZF140CVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF71AVM/RZF71DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF71CVM/RZF71DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF100AVM/RZF100DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF100CVM/RZF100DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF125BVM/RZF125DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF125DVM/RZF125DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF140BVM/RZF140DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF140DVM/RZF140DYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF100AVM/RZF100CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF100CVM/RZF100CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF125AVM/RZF125CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF125CVM/RZF125CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCTF140AVM/RZF140CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FCF140CVM/RZF140CYM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA50BVMA9/RZF50DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA60BVMA9/RZF60DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA71BVMA9/RZF71DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
FBA100BVMA9/RZF100DVM,SERIES_LEVEL,PASS,IMPORT_READY,,VERIFIED_TECHNICAL_TABLE,NEEDS_SCHEMA_EXTENSION,CORE_VERIFIED
