accessory_model,accessory_name,accessory_type,condition,equipment_type,indoor_model_or_series,required_optional,source_pdf_page,source_printed_page,source_row,source_table
BYCQ125EAF,Mặt nạ,Mặt nạ, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,5,2
BYCQ125EAK,2,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,6,2
BYCQ125EEF,Mặt nạ tiêu chuẩn có cảm biến,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,7,2
BYCQ125EEK,4,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,8,2
BYCQ125EAPF,Mặt nạ thiết kế,," | *1,1 | 4",SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,9,2
BYCQ125EBSF,Mặt nạ lưới tự động,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,10,2
KDDP55C160 | KDDP55C160-1 | KDDP55C160-2,IAQ,IAQ,"KDDP55C160-2 | *4,5,6, | 10",SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,14,2
KDDP55C160K | KDDP55C160-1 | KDDP55C160K2,Có ống nối chữ T,,"KDDP55C160K2 | *4,5,6, | 10",SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,15,2
KDDP55X160A,Loại lắp trực tiếp,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,16,2
KDDFP55C160,Khoang phin lọc,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,18,2
KAF555D160,Phin lọc,Phin lọc, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,21,2
KAF550D160 | KDDFP55C160,Phin lọc thay thế tuổi thọ cao siêu bền,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,22,2
KAF5511D160,Phin lọc thay thế tuổi thọ cao,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,23,2
KAF5512D160,Phin lọc thay thế tuổi thọ cao,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,24,2
KAF556D80 | KAF556D160 | KAF556D80 | KAF556D160 | KAF556D80 | KAF556D160,Phin lọc hiệu suất cao (Có khoang lọc),," | *12,1 | 4",SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,25,2
KAF557D80 | KAF557D160 | KAF557D80 | KAF557D160 | KAF557D80 | KAF557D160,Phương pháp so màu 90%,," | *12,1 | 4",SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,26,2
KAF552D80 | KAF552D160 | KAF552D80 | KAF552D160 | KAF552D80 | KAF552D160 | KDDFP55C160,Phin lọc thay thế hiệu suất cao,," | *12,1 | 4",SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,27,2
KAF553D80 | KAF553D160 | KAF553D80 | KAF553D160 | KAF553D80 | KAF553D160 | KDDFP55C160,Phương pháp so màu 90%,," | *12,1 | 4",SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,28,2
BRC1H63W,Điều khiển từ xa,Điều khiển từ xa, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,31,2
BRC1H63K,28,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,32,2
BRC1E63,Navigation remote controller,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,33,2
BRC2E61,Điều khiển từ xa đơn giản,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,34,2
BRC7M635F,Điều khiển từ xa,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,35,2
BRC7M635K,32,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,36,2
BRC7M634F,Hai chiều,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,37,2
BRC7M634K,34,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,38,2
