sku,model_code,capacity_class,published_kw,published_btu,kw_times_3412_btu,difference_percent,decision,source_pdf_page,source_printed_page
FBA100BVMA9-RZA100DV1,FBA100BVMA9/RZA100DV1,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,59,116|117
FBA100BVMA9-RZA100DY1,FBA100BVMA9/RZA100DY1,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,59,116|117
FBA100BVMA9-RZF100CVM,FBA100BVMA9/RZF100CVM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,56,110|111
FBA100BVMA9-RZF100CYM,FBA100BVMA9/RZF100CYM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,56,110|111
FBA100BVMA9-RZF100DVM,FBA100BVMA9/RZF100DVM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,56,110|111
FBA100BVMA9-RZF100DYM,FBA100BVMA9/RZF100DYM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,56,110|111
FBA125BVMA9-RZA125DV1,FBA125BVMA9/RZA125DV1,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,59,116|117
FBA125BVMA9-RZA125DY1,FBA125BVMA9/RZA125DY1,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,59,116|117
FBA125BVMA9-RZF125CVM,FBA125BVMA9/RZF125CVM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,56,110|111
FBA125BVMA9-RZF125CYM,FBA125BVMA9/RZF125CYM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,56,110|111
FBA125BVMA9-RZF125DVM,FBA125BVMA9/RZF125DVM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,56,110|111
FBA125BVMA9-RZF125DYM,FBA125BVMA9/RZF125DYM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,56,110|111
FBA140BVMA-RZA140DV1,FBA140BVMA/RZA140DV1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,59,116|117
FBA140BVMA9-RZA140DY1,FBA140BVMA9/RZA140DY1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,59,116|117
FBA140BVMA9-RZF140CVM,FBA140BVMA9/RZF140CVM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,56,110|111
FBA140BVMA9-RZF140CYM,FBA140BVMA9/RZF140CYM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,56,110|111
