airflow,brand_id,capacity_class,capacity_kw,confidence,cooling_capacity_btu_max,cooling_capacity_btu_min,cooling_capacity_kw_max,cooling_capacity_kw_min,cooling_type,cop,cspf,equipment_subtype,equipment_type,external_static_pressure_pa,extraction_method,frequency,frequency_source,gas_pipe_mm,indoor_model,inverter,is_active,issues,liquid_pipe_mm,max_actual_pipe_length_m,max_height_difference_m,mode,model_code,name,noise_level,outdoor_family_label,outdoor_model,outdoor_series,phase,power_variant,product_category_id,readiness,refrigerant,refrigerant_gas,robots,schema_enabled,series,sku,source_column,source_page,source_pdf,source_pdf_page,source_printed_page,source_row,source_section,source_sha256,source_table,technical_capacity_btu,voltage,voltage_source
23 / 21 / 18.5 / 16 / 13.5,1,50,5.0,VERIFIED_TECHNICAL_TABLE,-19100,7800,-5.6,2.3,1_chieu,4.95,7.60,Round Flow có Streamer,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCTF50AVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCTF50AVM/RZF50DVM,Điều hòa Daikin SkyAir Round Flow có Streamer FCTF50AVM/RZF50DVM,37 / 34.5 / 32 / 29.5 / 27.5,Inverter cao cấp,RZF50DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow có Streamer,FCTF50AVM-RZF50DVM,5,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,17100,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
23 / 21 / 18.5 / 16 / 13.5,1,50,5.0,VERIFIED_TECHNICAL_TABLE,-19100,7800,-5.6,2.3,1_chieu,4.95,7.60,Round Flow,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCF50CVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCF50CVM/RZF50DVM,Điều hòa Daikin SkyAir Round Flow FCF50CVM/RZF50DVM,37 / 34.5 / 32 / 29.5 / 27.5,Inverter cao cấp,RZF50DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow,FCF50CVM-RZF50DVM,5,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,17100,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
23 / 21 / 18.5 / 16 / 13.5,1,60,6.0,VERIFIED_TECHNICAL_TABLE,-21500,8900,-6.3,2.6,1_chieu,4.35,7.50,Round Flow có Streamer,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCTF60AVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCTF60AVM/RZF60DVM,Điều hòa Daikin SkyAir Round Flow có Streamer FCTF60AVM/RZF60DVM,37 / 34.5 / 32 / 29.5 / 27.5,Inverter cao cấp,RZF60DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow có Streamer,FCTF60AVM-RZF60DVM,6,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,20500,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
23 / 21 / 18.5 / 16 / 13.5,1,60,6.0,VERIFIED_TECHNICAL_TABLE,-21500,8900,-6.3,2.6,1_chieu,4.35,7.50,Round Flow,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCF60CVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCF60CVM/RZF60DVM,Điều hòa Daikin SkyAir Round Flow FCF60CVM/RZF60DVM,37 / 34.5 / 32 / 29.5 / 27.5,Inverter cao cấp,RZF60DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow,FCF60CVM-RZF60DVM,6,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,20500,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
23 / 21 / 18.5 / 16 / 13.5,1,71,7.1,VERIFIED_TECHNICAL_TABLE,-27300,10900,-8.0,3.2,1_chieu,4.10,7.10,Round Flow có Streamer,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCTF71AVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCTF71AVM/RZF71DVM,Điều hòa Daikin SkyAir Round Flow có Streamer FCTF71AVM/RZF71DVM,37 / 34.5 / 32 / 29.5 / 27.5,Inverter cao cấp,RZF71DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow có Streamer,FCTF71AVM-RZF71DVM,7,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,24200,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
23 / 21 / 18.5 / 16 / 13.5,1,71,7.1,VERIFIED_TECHNICAL_TABLE,-27300,10900,-8.0,3.2,1_chieu,4.10,7.10,Round Flow,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCF71CVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCF71CVM/RZF71DVM,Điều hòa Daikin SkyAir Round Flow FCF71CVM/RZF71DVM,37 / 34.5 / 32 / 29.5 / 27.5,Inverter cao cấp,RZF71DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow,FCF71CVM-RZF71DVM,7,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,24200,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
34.5 / 31 / 27.5 / 24 / 20,1,100,10.0,VERIFIED_TECHNICAL_TABLE,-38200,17100,-11.2,5.0,1_chieu,3.98,6.60,Round Flow có Streamer,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCTF100AVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCTF100AVM/RZF100DVM,Điều hòa Daikin SkyAir Round Flow có Streamer FCTF100AVM/RZF100DVM,45 / 41.5 / 38 / 35 / 32.5,Inverter cao cấp,RZF100DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow có Streamer,FCTF100AVM-RZF100DVM,8,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,34100,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
34.5 / 31 / 27.5 / 24 / 20,1,100,10.0,VERIFIED_TECHNICAL_TABLE,-38200,17100,-11.2,5.0,1_chieu,3.98,6.60,Round Flow,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCF100CVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCF100CVM/RZF100DVM,Điều hòa Daikin SkyAir Round Flow FCF100CVM/RZF100DVM,45 / 41.5 / 38 / 35 / 32.5,Inverter cao cấp,RZF100DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow,FCF100CVM-RZF100DVM,8,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,34100,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
36.5 / 33.5 / 30 / 26.5 / 23,1,125,12.5,VERIFIED_TECHNICAL_TABLE,-47800,19500,-14.0,5.7,1_chieu,3.83,6.30,Round Flow có Streamer,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCTF125BVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCTF125BVM/RZF125DVM,Điều hòa Daikin SkyAir Round Flow có Streamer FCTF125BVM/RZF125DVM,46 / 43.5 / 41 / 38.5 / 36,Inverter cao cấp,RZF125DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow có Streamer,FCTF125BVM-RZF125DVM,9,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,42700,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
36.5 / 33.5 / 30 / 26.5 / 23,1,125,12.5,VERIFIED_TECHNICAL_TABLE,-47800,19500,-14.0,5.7,1_chieu,3.83,6.30,Round Flow,cassette,,PDF_TABLE_VISUAL_VERIFICATION,50 / 60Hz,50 / 60Hz,,FCF125DVM,1,0,,o/9.5,50 (Chiều dài tương đương 70),30,cooling_only,FCF125DVM/RZF125DVM,Điều hòa Daikin SkyAir Round Flow FCF125DVM/RZF125DVM,46 / 43.5 / 41 / 38.5 / 36,Inverter cao cấp,RZF125DVM,RZF,1,Dàn nóng,24,IMPORT_READY,R32,R32,"noindex,follow",0,SkyAir RZF - Round Flow,FCF125DVM-RZF125DVM,9,55,DAIKIN - CATALOGUE MÁY LẠNH THƯƠNG MẠI 2026 - SKY AIR.pdf,55,108|109,7,TECHNICAL_APPENDIX,F02E3C7B0F993D636630AB4C640D3C7662AA2BF0CC9F5F1957CF460DF7C659DE,2,42700,220-240/220-230,"1 Pha, 220-240 / 220-230V, 50 / 60Hz"
