accessory_model,accessory_name,accessory_type,condition,equipment_type,indoor_model_or_series,required_optional,source_pdf_page,source_printed_page,source_row,source_table
BRC1H63W,Điều khiển từ xa,Điều khiển từ xa, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,31,2
BRC1H63K,28,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,32,2
BRC1E63,Navigation remote controller,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,33,2
BRC2E61,Điều khiển từ xa đơn giản,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,34,2
BRC7M635F,Điều khiển từ xa,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,35,2
BRC7M635K,32,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,36,2
BRC7M634F,Hai chiều,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,37,2
BRC7M634K,34,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,38,2
BRC7F635F,Một chiều,, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,39,2
BRCS01A-5,Cảm biến điều khiển từ xa,Cảm biến điều khiển từ xa, |  | ,SOURCE_SCOPE,có Str | eamer | FCF 50/60/71 CVM | FCF 100/125/140CVM M Ớ I 125/140DVM | FCFC 40/50/60/ 71/85DVM | FCFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,66,130|131,50,2
BRC51D62,Điều khiển từ xa,Điều khiển từ xa,BRC51D62 |  | *1,SOURCE_SCOPE,FCFG 50/60/71/85/100/125/140AV1V,OPTIONAL_OR_CONDITIONAL,66,130|131,3,6
ARC485A7,Điều khiển từ xa,,ARC485A7 |  | ,SOURCE_SCOPE,FCFG 50/60/71/85/100/125/140AV1V,OPTIONAL_OR_CONDITIONAL,66,130|131,4,6
DCM601A51,Điều khiển,Điều khiển,DCM601A51 |  | ,SOURCE_SCOPE,FCFG 50/60/71/85/100/125/140AV1V,OPTIONAL_OR_CONDITIONAL,66,130|131,5,6
BRC1E63,Bộ cảm biến,,BRYQ60AAW | BRC1E63 | *1,SOURCE_SCOPE,FFFC 35/50/60/71AVM,OPTIONAL_OR_CONDITIONAL,67,132|133,4,2
BRC1E63,Điều khiển từ xa,Điều khiển từ xa,"BRC1E63 | 4 | *1,2",SOURCE_SCOPE,FFFC 35/50/60/71AVM,OPTIONAL_OR_CONDITIONAL,67,132|133,8,2
BRC2E61,Điều khiển từ xa đơn giản,,BRC2E61 |  | *2,SOURCE_SCOPE,FFFC 35/50/60/71AVM,OPTIONAL_OR_CONDITIONAL,67,132|133,9,2
BRC7M531W,Điều khiển từ xa,,BRC7M531W |  | ,SOURCE_SCOPE,FFFC 35/50/60/71AVM,OPTIONAL_OR_CONDITIONAL,67,132|133,10,2
BRCS01A-6,Cảm biến điều khiển từ xa,Cảm biến điều khiển từ xa,BRCS01A-6 |  | ,SOURCE_SCOPE,FFFC 35/50/60/71AVM,OPTIONAL_OR_CONDITIONAL,67,132|133,20,2
BRC2E61,Điều khiển từ xa,Điều khiển từ xa,BRC2E61 |  | *1,SOURCE_SCOPE,FDLF 40/50/60/71/85DV1,OPTIONAL_OR_CONDITIONAL,67,132|133,3,3
BRC4C66,Điều khiển từ xa,,BRC4C66 |  | ,SOURCE_SCOPE,FDLF 40/50/60/71/85DV1,OPTIONAL_OR_CONDITIONAL,67,132|133,4,3
BRCS01A-1,Cảm biến điều khiển từ xa,Cảm biến điều khiển từ xa,BRCS01A-1 |  | ,SOURCE_SCOPE,FDLF 40/50/60/71/85DV1,OPTIONAL_OR_CONDITIONAL,67,132|133,5,3
BRC1E63,Điều khiển từ xa,Điều khiển từ xa,BRC1E63 |  | *1,SOURCE_SCOPE,FVA 50/60/71/100/125/140AMVM,OPTIONAL_OR_CONDITIONAL,67,132|133,4,4
BRC4C66,Điều khiển từ xa,,BRC4C66 |  | ,SOURCE_SCOPE,FVA 50/60/71/100/125/140AMVM,OPTIONAL_OR_CONDITIONAL,67,132|133,5,4
BRC4C65,Hai chiều,,BRC4C65 |  | ,SOURCE_SCOPE,FVA 50/60/71/100/125/140AMVM,OPTIONAL_OR_CONDITIONAL,67,132|133,6,4
BRC1H63W,Điều khiển từ xa,Điều khiển từ xa, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,10,5
BRC1H63K,Đen,, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,11,5
BRC1E63,Navigation remote controller,, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,12,5
BRC2E61,Điều khiển từ xa đơn giản,, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,13,5
BRC4C66,Điều khiển từ xa,, |  | ,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,14,5
BRC4C65,Hai chiều,, |  | ,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,15,5
BRCS01A-4,Cảm biến điều khiển từ xa,Cảm biến điều khiển từ xa, |  | ,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,26,5
BRC51D61,Điều khiển từ xa,Điều khiển từ xa,BRC51D61 |  | *1,SOURCE_SCOPE,FVFC 71/85/100/125/140AV1,OPTIONAL_OR_CONDITIONAL,67,132|133,3,6
BRC52A62,Điều khiển từ xa,,BRC52A62 |  | ,SOURCE_SCOPE,FVFC 71/85/100/125/140AV1,OPTIONAL_OR_CONDITIONAL,67,132|133,4,6
DCM601B51,Điều khiển,Điều khiển,DCM601B51 |  | ,SOURCE_SCOPE,FVFC 71/85/100/125/140AV1,OPTIONAL_OR_CONDITIONAL,67,132|133,5,6
BAPWS55A61 | BERPW50A61 | BRC1H63W/K,IAQ,IAQ,"BERPW50A61 | BRC1H63W/K | *4,5",SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,6,3
BRC1H63W,Điều khiển từ xa,Điều khiển từ xa, |  | *1,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,8,3
BRC1H63K,Đen,, |  | *1,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,9,3
