catalog_value,combination,decision,existing_value,field,source
FCTF50AVM/RZF50DVM,FCTF50AVM/RZF50DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF50CVM/RZF50DVM,FCF50CVM/RZF50DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF60AVM/RZF60DVM,FCTF60AVM/RZF60DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF60CVM/RZF60DVM,FCF60CVM/RZF60DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF71AVM/RZF71DVM,FCTF71AVM/RZF71DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF71CVM/RZF71DVM,FCF71CVM/RZF71DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF100AVM/RZF100DVM,FCTF100AVM/RZF100DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF100CVM/RZF100DVM,FCF100CVM/RZF100DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF125BVM/RZF125DVM,FCTF125BVM/RZF125DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF125DVM/RZF125DVM,FCF125DVM/RZF125DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF140BVM/RZF140DVM,FCTF140BVM/RZF140DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF140DVM/RZF140DVM,FCF140DVM/RZF140DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF100AVM/RZF100CVM,FCTF100AVM/RZF100CVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF100CVM/RZF100CVM,FCF100CVM/RZF100CVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF125AVM/RZF125CVM,FCTF125AVM/RZF125CVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF125CVM/RZF125CVM,FCF125CVM/RZF125CVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF140AVM/RZF140CVM,FCTF140AVM/RZF140CVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF140CVM/RZF140CVM,FCF140CVM/RZF140CVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF71AVM/RZF71DYM,FCTF71AVM/RZF71DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF71CVM/RZF71DYM,FCF71CVM/RZF71DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF100AVM/RZF100DYM,FCTF100AVM/RZF100DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF100CVM/RZF100DYM,FCF100CVM/RZF100DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF125BVM/RZF125DYM,FCTF125BVM/RZF125DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF125DVM/RZF125DYM,FCF125DVM/RZF125DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF140BVM/RZF140DYM,FCTF140BVM/RZF140DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF140DVM/RZF140DYM,FCF140DVM/RZF140DYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF100AVM/RZF100CYM,FCTF100AVM/RZF100CYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF100CVM/RZF100CYM,FCF100CVM/RZF100CYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF125AVM/RZF125CYM,FCTF125AVM/RZF125CYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF125CVM/RZF125CYM,FCF125CVM/RZF125CYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCTF140AVM/RZF140CYM,FCTF140AVM/RZF140CYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FCF140CVM/RZF140CYM,FCF140CVM/RZF140CYM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 55 / printed 108|109
FBA50BVMA9/RZF50DVM,FBA50BVMA9/RZF50DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 56 / printed 110|111
FBA60BVMA9/RZF60DVM,FBA60BVMA9/RZF60DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 56 / printed 110|111
FBA71BVMA9/RZF71DVM,FBA71BVMA9/RZF71DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 56 / printed 110|111
FBA100BVMA9/RZF100DVM,FBA100BVMA9/RZF100DVM,NEW_OR_REVIEW_DB_MATCH,,technical_identity,PDF 56 / printed 110|111
