equipment_subtype,equipment_type,indoor_model,product_category_id,source_pdf_page,source_printed_page
Áp suất tĩnh trung bình,ducted,FBA100BVMA9,27,56,110|111
Áp suất tĩnh trung bình,ducted,FBA125BVMA9,27,56,110|111
Áp suất tĩnh trung bình,ducted,FBA140BVMA,27,59,116|117
Áp suất tĩnh trung bình,ducted,FBA140BVMA9,27,56,110|111
Áp suất tĩnh trung bình,ducted,FBA50BVMA9,27,56,110|111
Áp suất tĩnh trung bình,ducted,FBA60BVMA9,27,56,110|111
Áp suất tĩnh trung bình,ducted,FBA71BVMA9,27,56,110|111
Áp suất tĩnh trung bình,ducted,FBFC100DVM9,27,62,122|123
Áp suất tĩnh trung bình,ducted,FBFC125DVM9,27,62,122|123
Áp suất tĩnh trung bình,ducted,FBFC140DVM9,27,62,122|123
Áp suất tĩnh trung bình,ducted,FBFC40DVM9,27,62,122|123
Áp suất tĩnh trung bình,ducted,FBFC50DVM9,27,62,122|123
Áp suất tĩnh trung bình,ducted,FBFC60DVM9,27,62,122|123
Áp suất tĩnh trung bình,ducted,FBFC71DVM9,27,62,122|123
Áp suất tĩnh trung bình,ducted,FBFC85DVM9,27,62,122|123
4 hướng thổi,cassette,FCC100AV1V,24,64,126|127
4 hướng thổi,cassette,FCC125AV1V,24,64,126|127
4 hướng thổi,cassette,FCC140AV1V,24,64,126|127
4 hướng thổi,cassette,FCC50AV1V,24,64,126|127
4 hướng thổi,cassette,FCC60AV1V,24,64,126|127
4 hướng thổi,cassette,FCC85AV1V,24,64,126|127
Round Flow,cassette,FCF100CVM,24,55,108|109
Round Flow,cassette,FCF125CVM,24,55,108|109
Round Flow,cassette,FCF125DVM,24,55,108|109
Round Flow,cassette,FCF140CVM,24,55,108|109
Round Flow,cassette,FCF140DVM,24,55,108|109
Round Flow,cassette,FCF50CVM,24,55,108|109
Round Flow,cassette,FCF60CVM,24,55,108|109
Round Flow,cassette,FCF71CVM,24,55,108|109
Round Flow,cassette,FCFC100DVM,24,61,120|121
Round Flow,cassette,FCFC125DVM,24,61,120|121
Round Flow,cassette,FCFC140DVM,24,61,120|121
Round Flow,cassette,FCFC40DVM,24,61,120|121
Round Flow,cassette,FCFC50DVM,24,61,120|121
Round Flow,cassette,FCFC60DVM,24,61,120|121
Round Flow,cassette,FCFC71DVM,24,61,120|121
Round Flow,cassette,FCFC85DVM,24,61,120|121
KIRIU Surround,cassette,FCFG100AV1V,24,61,120|121
KIRIU Surround,cassette,FCFG125AV1V,24,61,120|121
KIRIU Surround,cassette,FCFG140AV1V,24,61,120|121
KIRIU Surround,cassette,FCFG50AV1V,24,61,120|121
KIRIU Surround,cassette,FCFG60AV1V,24,61,120|121
KIRIU Surround,cassette,FCFG71AV1V,24,61,120|121
KIRIU Surround,cassette,FCFG85AV1V,24,61,120|121
4 hướng thổi,cassette,FCNQ13MV1,24,64,126|127
4 hướng thổi,cassette,FCNQ18MV1,24,64,126|127
4 hướng thổi,cassette,FCNQ21MV1,24,64,126|127
4 hướng thổi,cassette,FCNQ26MV1,24,64,126|127
4 hướng thổi,cassette,FCNQ30MV1,24,64,126|127
4 hướng thổi,cassette,FCNQ36MV1,24,64,126|127
4 hướng thổi,cassette,FCNQ42MV1,24,64,126|127
4 hướng thổi,cassette,FCNQ48MV1,24,64,126|127
Round Flow có Streamer,cassette,FCTF100AVM,24,55,108|109
Round Flow có Streamer,cassette,FCTF125AVM,24,55,108|109
Round Flow có Streamer,cassette,FCTF125BVM,24,55,108|109
Round Flow có Streamer,cassette,FCTF140AVM,24,55,108|109
Round Flow có Streamer,cassette,FCTF140BVM,24,55,108|109
Round Flow có Streamer,cassette,FCTF50AVM,24,55,108|109
Round Flow có Streamer,cassette,FCTF60AVM,24,55,108|109
Round Flow có Streamer,cassette,FCTF71AVM,24,55,108|109
Áp suất tĩnh thấp,ducted,FDBNQ09MV1V,27,64,126|127
Áp suất tĩnh thấp,ducted,FDBNQ13MV1V,27,64,126|127
Áp suất tĩnh thấp,ducted,FDBNQ18MV1V,27,64,126|127
Áp suất tĩnh thấp,ducted,FDBNQ21MV1V,27,64,126|127
Áp suất tĩnh thấp,ducted,FDBNQ24MV1V,27,64,126|127
Áp suất tĩnh thấp,ducted,FDBNQ26MV1,27,64,126|127
Áp suất tĩnh thấp - chiều cao nhỏ gọn,ducted,FDLF40DV1,27,62,122|123
Áp suất tĩnh thấp - chiều cao nhỏ gọn,ducted,FDLF50DV1,27,62,122|123
Áp suất tĩnh thấp - chiều cao nhỏ gọn,ducted,FDLF60DV1,27,62,122|123
Áp suất tĩnh thấp - chiều cao nhỏ gọn,ducted,FDLF71DV1,27,62,122|123
