combination_id,confidence,field,indoor_model,normalized_value,outdoor_model,raw_label,raw_value,source_column,source_pdf_page,source_printed_page,source_row,unit,verification_method
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,RAW_NOT_MAPPED,FCTF50AVM,RZF50DVM,RZF50DVM,Dàn nóng,RZF50DVM,5,55,108|109,4,,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,RAW_NOT_MAPPED,FCTF50AVM,"1 Pha, 220-240 / 220-230V, 50 / 60Hz",RZF50DVM,Nguồn điện / Dàn nóng,"1 Pha, 220-240 / 220-230V, 50 / 60Hz",5,55,108|109,5,,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,cooling_capacity_kw,FCTF50AVM,5.0 (2.3-5.6),RZF50DVM,"Công suất làm lạnh 1,2 Định mức (Tối thiểu - Tối đa) / kW",5.0 (2.3-5.6),5,55,108|109,6,kW,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,cooling_capacity_btu,FCTF50AVM,"17,100 (7,800-19,100)",RZF50DVM,Btu/h,"17,100 (7,800-19,100)",5,55,108|109,7,Btu/h,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,power_input_kw,FCTF50AVM,1.01,RZF50DVM,Điện năng tiêu thụ / Làm lạnh 1 / kW,1.01,5,55,108|109,8,kW,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,cop,FCTF50AVM,4.95,RZF50DVM,COP / kW/kW,4.95,5,55,108|109,9,,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,cspf,FCTF50AVM,7.60,RZF50DVM,CSPF / kWh/kWh,7.60,5,55,108|109,10,,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,RAW_NOT_MAPPED,FCTF50AVM,----------,RZF50DVM,Dàn lạnh / Màu sắc / Thiết bị,----------,5,55,108|109,11,,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,RAW_NOT_MAPPED,FCTF50AVM,Trắng sáng,RZF50DVM,Mặt nạ trang trí,Trắng sáng,5,55,108|109,12,,
FCTF50AVM/RZF50DVM,VERIFIED_TABLE_CELL,airflow,FCTF50AVM,23 / 21 / 18.5 / 16 / 13.5,RZF50DVM,Lưu lượng gió (RC / C / TB / T / RT) / m3/phút,23 / 21 / 18.5 / 16 / 13.5,5,55,108|109,13,,
