indoor_model,outdoor_model,series,feature_key,availability,condition,source_page,confidence
FTKZ25VVMV,RKZ25VVMV,FTKZ,hybrid_cooling,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,humidity_sensor,NO,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,humi_comfort,NO,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,humi_comfort_plus,NO,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,streamer,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,anti_mold_streamer,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,anti_mold_indoor,NO,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,enzyme_blue_pm25,NO,Enzyme Blue; catalog does not mark PM2.5,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,powerful,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,indoor_quiet,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,outdoor_quiet,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,night_mode,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,comfort_sleep,NO,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,comfort_airflow,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,airflow_3d,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,intelligent_eye,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,intelligent_eye_2_area,YES,25/35 only,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,standby_saving,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,econo,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,smartphone_control,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,backlit_remote,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,child_lock,NO,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,timer,YES,24H,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,super_pcb,YES,,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,anti_corrosion_fin,YES,25/35 only,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,microchannel,NO,50/60/71 only,4-5,VERIFIED
FTKZ25VVMV,RKZ25VVMV,FTKZ,dual_power_supply,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,hybrid_cooling,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,humidity_sensor,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,humi_comfort,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,humi_comfort_plus,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,streamer,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,anti_mold_streamer,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,anti_mold_indoor,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,enzyme_blue_pm25,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,powerful,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,indoor_quiet,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,outdoor_quiet,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,night_mode,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,comfort_sleep,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,comfort_airflow,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,airflow_3d,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,intelligent_eye,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,intelligent_eye_2_area,NO,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,standby_saving,YES,,4-5,VERIFIED
FTKM25AVMV,RKM25AVMV,FTKM,econo,YES,,4-5,VERIFIED
