series,sku,field,imported_value,exported_value,expected_unit,exported_unit,status
FTKZ,FTKZ25VVMV-RKZ25VVMV,capacity_kw,2.5,2.5,kW,kW,PASS
FTKZ,FTKZ25VVMV-RKZ25VVMV,refrigerant_charge_kg,0.77,0.77,kg,kg,PASS
FTKZ,FTKZ25VVMV-RKZ25VVMV,indoor_airflow_cooling_high_m3_min,14.6,14.6,m³/min,m³/min,PASS
FTKZ,FTKZ25VVMV-RKZ25VVMV,indoor_noise_cooling_high_db,42,42,dB(A),dB(A),PASS
FTKZ,FTKZ25VVMV-RKZ25VVMV,outdoor_weight_kg,27,27,kg,kg,PASS
FTKZ,FTKZ25VVMV-RKZ25VVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
FTKM,FTKM25AVMV-RKM25AVMV,capacity_kw,2.65,2.65,kW,kW,PASS
FTKM,FTKM25AVMV-RKM25AVMV,refrigerant_charge_kg,0.7,0.7,kg,kg,PASS
FTKM,FTKM25AVMV-RKM25AVMV,indoor_airflow_cooling_high_m3_min,11.3,11.3,m³/min,m³/min,PASS
FTKM,FTKM25AVMV-RKM25AVMV,indoor_noise_cooling_high_db,39,39,dB(A),dB(A),PASS
FTKM,FTKM25AVMV-RKM25AVMV,outdoor_weight_kg,27,27,kg,kg,PASS
FTKM,FTKM25AVMV-RKM25AVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
FTKY,FTKY25ZVMV-RKY25ZVMV,capacity_kw,2.7,2.7,kW,kW,PASS
FTKY,FTKY25ZVMV-RKY25ZVMV,refrigerant_charge_kg,0.46,0.46,kg,kg,PASS
FTKY,FTKY25ZVMV-RKY25ZVMV,indoor_airflow_cooling_high_m3_min,11.5,11.5,m³/min,m³/min,PASS
FTKY,FTKY25ZVMV-RKY25ZVMV,indoor_noise_cooling_high_db,38,38,dB(A),dB(A),PASS
FTKY,FTKY25ZVMV-RKY25ZVMV,outdoor_weight_kg,22,22,kg,kg,PASS
FTKY,FTKY25ZVMV-RKY25ZVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
FTKF,FTKF25ZVMV-RKF25ZVMV,capacity_kw,2.7,2.7,kW,kW,PASS
FTKF,FTKF25ZVMV-RKF25ZVMV,refrigerant_charge_kg,0.41,0.41,kg,kg,PASS
FTKF,FTKF25ZVMV-RKF25ZVMV,indoor_airflow_cooling_high_m3_min,10,10,m³/min,m³/min,PASS
FTKF,FTKF25ZVMV-RKF25ZVMV,indoor_noise_cooling_high_db,36,36,dB(A),dB(A),PASS
FTKF,FTKF25ZVMV-RKF25ZVMV,outdoor_weight_kg,19,19,kg,kg,PASS
FTKF,FTKF25ZVMV-RKF25ZVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
ATKF,ATKF25ZVMV-ARKF25ZVMV,capacity_kw,2.7,2.7,kW,kW,PASS
ATKF,ATKF25ZVMV-ARKF25ZVMV,refrigerant_charge_kg,0.41,0.41,kg,kg,PASS
ATKF,ATKF25ZVMV-ARKF25ZVMV,indoor_airflow_cooling_high_m3_min,10,10,m³/min,m³/min,PASS
ATKF,ATKF25ZVMV-ARKF25ZVMV,indoor_noise_cooling_high_db,36,36,dB(A),dB(A),PASS
ATKF,ATKF25ZVMV-ARKF25ZVMV,outdoor_weight_kg,19,19,kg,kg,PASS
ATKF,ATKF25ZVMV-ARKF25ZVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
FTKB,FTKB25ZVMV-RKB25ZVMV,capacity_kw,2.7,2.7,kW,kW,PASS
FTKB,FTKB25ZVMV-RKB25ZVMV,refrigerant_charge_kg,0.41,0.41,kg,kg,PASS
FTKB,FTKB25ZVMV-RKB25ZVMV,indoor_airflow_cooling_high_m3_min,9.9,9.9,m³/min,m³/min,PASS
FTKB,FTKB25ZVMV-RKB25ZVMV,indoor_noise_cooling_high_db,36,36,dB(A),dB(A),PASS
FTKB,FTKB25ZVMV-RKB25ZVMV,outdoor_weight_kg,19,19,kg,kg,PASS
FTKB,FTKB25ZVMV-RKB25ZVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
ATKB,ATKB25ZVMV-ARKB25ZVMV,capacity_kw,2.7,2.7,kW,kW,PASS
ATKB,ATKB25ZVMV-ARKB25ZVMV,refrigerant_charge_kg,0.41,0.41,kg,kg,PASS
ATKB,ATKB25ZVMV-ARKB25ZVMV,indoor_airflow_cooling_high_m3_min,9.9,9.9,m³/min,m³/min,PASS
ATKB,ATKB25ZVMV-ARKB25ZVMV,indoor_noise_cooling_high_db,36,36,dB(A),dB(A),PASS
ATKB,ATKB25ZVMV-ARKB25ZVMV,outdoor_weight_kg,19,19,kg,kg,PASS
ATKB,ATKB25ZVMV-ARKB25ZVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
FTHB,FTHB25ZVMV-RHB25ZVMV,capacity_kw,2.65,2.65,kW,kW,PASS
FTHB,FTHB25ZVMV-RHB25ZVMV,refrigerant_charge_kg,0.43,0.43,kg,kg,PASS
FTHB,FTHB25ZVMV-RHB25ZVMV,indoor_airflow_cooling_high_m3_min,9.9,9.9,m³/min,m³/min,PASS
FTHB,FTHB25ZVMV-RHB25ZVMV,indoor_noise_cooling_high_db,36,36,dB(A),dB(A),PASS
FTHB,FTHB25ZVMV-RHB25ZVMV,outdoor_weight_kg,24,24,kg,kg,PASS
FTHB,FTHB25ZVMV-RHB25ZVMV,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
FTF,FTF25XAV1V-RF25XAV1V,capacity_kw,2.72,2.72,kW,kW,PASS
FTF,FTF25XAV1V-RF25XAV1V,refrigerant_charge_kg,0.65,0.65,kg,kg,PASS
FTF,FTF25XAV1V-RF25XAV1V,indoor_airflow_cooling_high_m3_min,10.2,10.2,m³/min,m³/min,PASS
FTF,FTF25XAV1V-RF25XAV1V,indoor_noise_cooling_high_db,38,38,dB(A),dB(A),PASS
FTF,FTF25XAV1V-RF25XAV1V,outdoor_weight_kg,26,26,kg,kg,PASS
FTF,FTF25XAV1V-RF25XAV1V,cooling_operating_min_c_db,19.4,19.4,°C,°C,PASS
FTXM,FTXM25XVMV-RXM25XVMV,capacity_kw,2.7,2.7,kW,kW,PASS
FTXM,FTXM25XVMV-RXM25XVMV,refrigerant_charge_kg,0.95,0.95,kg,kg,PASS
FTXM,FTXM25XVMV-RXM25XVMV,indoor_airflow_cooling_high_m3_min,14.5,14.5,m³/min,m³/min,PASS
FTXM,FTXM25XVMV-RXM25XVMV,indoor_noise_cooling_high_db,42,42,dB(A),dB(A),PASS
FTXM,FTXM25XVMV-RXM25XVMV,outdoor_weight_kg,38,38,kg,kg,PASS
FTXM,FTXM25XVMV-RXM25XVMV,cooling_operating_min_c_db,10,10,°C,°C,PASS
FTXV,FTXV25QVMV-RXV25QVMV,capacity_kw,2.5,2.5,kW,kW,PASS
FTXV,FTXV25QVMV-RXV25QVMV,refrigerant_charge_kg,0.85,0.85,kg,kg,PASS
FTXV,FTXV25QVMV-RXV25QVMV,indoor_airflow_cooling_high_m3_min,10,10,m³/min,m³/min,PASS
FTXV,FTXV25QVMV-RXV25QVMV,indoor_noise_cooling_high_db,40,40,dB(A),dB(A),PASS
FTXV,FTXV25QVMV-RXV25QVMV,outdoor_weight_kg,30,30,kg,kg,PASS
FTXV,FTXV25QVMV-RXV25QVMV,cooling_operating_min_c_db,-10,-10,°C,°C,PASS
FTHF,FTHF25XVMV-RHF25XVMV,capacity_kw,2.7,2.7,kW,kW,PASS
FTHF,FTHF25XVMV-RHF25XVMV,refrigerant_charge_kg,0.7,0.7,kg,kg,PASS
FTHF,FTHF25XVMV-RHF25XVMV,indoor_airflow_cooling_high_m3_min,9.9,9.9,m³/min,m³/min,PASS
FTHF,FTHF25XVMV-RHF25XVMV,indoor_noise_cooling_high_db,40,40,dB(A),dB(A),PASS
FTHF,FTHF25XVMV-RHF25XVMV,outdoor_weight_kg,26,26,kg,kg,PASS
FTHF,FTHF25XVMV-RHF25XVMV,cooling_operating_min_c_db,10,10,°C,°C,PASS
