source_field,normalized_field,data_type,unit,coverage_count,missing_count,cooling_only_applicability,heat_pump_applicability,classification
compressor_output_w,compressor_output_w,int,W,51,0,YES,YES,IMPORTABLE
compressor_type,compressor_type,str,none,51,0,YES,YES,IMPORTABLE
cooling_capacity_btu_max,cooling_capacity_btu_max,int,BTU,47,4,YES,YES,IMPORTABLE
cooling_capacity_btu_min,cooling_capacity_btu_min,int,BTU,47,4,YES,YES,IMPORTABLE
cooling_capacity_btu_nominal,cooling_capacity_btu_nominal,int,BTU,51,0,YES,YES,QA_ONLY
cooling_capacity_kw_max,cooling_capacity_kw_max,float/int,kW,47,4,YES,YES,IMPORTABLE
cooling_capacity_kw_min,cooling_capacity_kw_min,float/int,kW,47,4,YES,YES,IMPORTABLE
cooling_capacity_kw_nominal,cooling_capacity_kw_nominal,float/int,kW,51,0,YES,YES,QA_ONLY
cooling_operating_max_c,cooling_operating_max_c,int,none,51,0,YES,YES,IMPORTABLE
cooling_operating_min_c,cooling_operating_min_c,float/int,none,51,0,YES,YES,IMPORTABLE
cooling_operating_temperature_basis,cooling_operating_temperature_basis,str,none,51,0,YES,YES,QA_ONLY
cspf,cspf,float,none,51,0,YES,YES,IMPORTABLE
drain_pipe_mm,drain_pipe_mm,float/int,mm,51,0,YES,YES,IMPORTABLE
fan_speed_modes,fan_speed_modes,str,none,51,0,YES,YES,IMPORTABLE
frequency,frequency,str,Hz,51,0,YES,YES,IMPORTABLE
gas_pipe_mm,gas_pipe_mm,float,mm,51,0,YES,YES,IMPORTABLE
heating_capacity_btu_max,heating_capacity_btu_max,int,BTU,19,32,NO,YES,IMPORTABLE
heating_capacity_btu_min,heating_capacity_btu_min,int,BTU,19,32,NO,YES,IMPORTABLE
heating_capacity_btu_nominal,heating_capacity_btu_nominal,int,BTU,19,32,NO,YES,IMPORTABLE
heating_capacity_kw_max,heating_capacity_kw_max,float/int,kW,19,32,NO,YES,IMPORTABLE
heating_capacity_kw_min,heating_capacity_kw_min,float/int,kW,19,32,NO,YES,IMPORTABLE
heating_capacity_kw_nominal,heating_capacity_kw_nominal,float/int,kW,19,32,NO,YES,IMPORTABLE
heating_operating_max_c,heating_operating_max_c,int,none,19,32,NO,YES,IMPORTABLE
heating_operating_min_c,heating_operating_min_c,int,none,19,32,NO,YES,IMPORTABLE
heating_operating_temperature_basis,heating_operating_temperature_basis,str,none,19,32,NO,YES,QA_ONLY
